Date,Color,Rig Number,Region
10-06-2019,Orange,808,North Dakota
10-06-2019,Orange,808,North Dakota
10-06-2019,Red,808,North Dakota
10-06-2019,Other,344,North Dakota
10-13-2019,Orange,286,North Dakota
10-13-2019,Orange,806,North Dakota
10-13-2019,Orange,811,North Dakota
10-27-2019,Orange,345,North Dakota
10-27-2019,Orange,348,North Dakota
10-27-2019,Orange,348,North Dakota
11-03-2019,Orange,286,North Dakota
11-03-2019,Orange,345,North Dakota
11-03-2019,Orange,348,North Dakota
11-03-2019,Orange,348,North Dakota
11-03-2019,Orange,811,North Dakota
11-03-2019,Red,808,North Dakota
12-01-2019,Orange,344,North Dakota
12-01-2019,Other,806,North Dakota
12-08-2019,Orange,286,North Dakota
12-22-2019,Orange,344,North Dakota
12-22-2019,Red,811,North Dakota
01-12-2020,Orange,348,North Dakota
01-12-2020,Red,286,North Dakota
01-12-2020,Red,806,North Dakota
01-12-2020,Other,286,North Dakota
01-19-2020,Orange,344,North Dakota
01-19-2020,Orange,348,North Dakota
01-19-2020,Other,286,North Dakota
01-26-2020,Orange,344,North Dakota
01-26-2020,Orange,345,North Dakota
01-26-2020,Orange,348,North Dakota
01-26-2020,Red,808,North Dakota
02-02-2020,Orange,345,North Dakota
02-02-2020,Orange,345,North Dakota
02-16-2020,Orange,345,North Dakota
02-16-2020,Orange,348,North Dakota
02-23-2020,Orange,344,North Dakota
02-23-2020,Orange,344,North Dakota
02-23-2020,Orange,806,North Dakota
03-01-2020,Orange,344,North Dakota
03-01-2020,Orange,348,North Dakota
03-01-2020,Orange,808,North Dakota
03-08-2020,Orange,335,North Dakota
03-08-2020,Orange,335,North Dakota
03-08-2020,Orange,345,North Dakota
03-08-2020,Orange,345,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Other,335,North Dakota
03-15-2020,Orange,335,North Dakota
03-15-2020,Orange,335,North Dakota
03-15-2020,Orange,808,North Dakota
03-22-2020,Orange,345,North Dakota
03-22-2020,Orange,808,North Dakota
03-29-2020,Orange,344,North Dakota
04-05-2020,Orange,344,North Dakota
04-12-2020,Orange,344,North Dakota
04-12-2020,Orange,345,North Dakota
04-12-2020,Orange,345,North Dakota
04-12-2020,Orange,348,North Dakota
04-12-2020,Orange,348,North Dakota
04-12-2020,Orange,808,North Dakota
04-19-2020,Orange,344,North Dakota
04-26-2020,Orange,345,North Dakota
02-14-2021,Orange,808,North Dakota
02-21-2021,Orange,808,North Dakota
03-21-2021,Orange,808,North Dakota
03-28-2021,Orange,808,North Dakota
