Date,Color,Rig Number,Region
10-06-2019,Red,578,App
10-06-2019,Other,572,App
10-06-2019,Other,584,App
10-13-2019,Orange,292,App
10-13-2019,Orange,343,App
10-13-2019,Orange,347,App
10-13-2019,Orange,578,App
10-13-2019,Orange,582,App
10-20-2019,Orange,328,App
10-20-2019,Orange,339,App
10-20-2019,Orange,342,App
10-20-2019,Orange,347,App
10-20-2019,Orange,563,App
10-20-2019,Orange,571,App
10-20-2019,Orange,572,App
10-20-2019,Orange,580,App
10-20-2019,Orange,582,App
10-20-2019,Orange,584,App
10-20-2019,Orange,805,App
10-27-2019,Orange,347,App
10-27-2019,Orange,572,App
10-27-2019,Orange,581,App
10-27-2019,Other,577,App
11-03-2019,Orange,292,App
11-03-2019,Orange,292,App
11-03-2019,Orange,347,App
11-03-2019,Orange,563,App
11-03-2019,Red,584,App
11-03-2019,Other,259,App
11-10-2019,Orange,563,App
11-10-2019,Orange,572,App
11-10-2019,Orange,572,App
11-10-2019,Orange,581,App
11-10-2019,Orange,584,App
11-10-2019,Other,581,App
11-10-2019,Other,584,App
11-17-2019,Orange,328,App
11-17-2019,Orange,584,App
11-17-2019,Other,577,App
11-24-2019,Orange,328,App
11-24-2019,Orange,328,App
11-24-2019,Orange,581,App
11-24-2019,Orange,584,App
12-01-2019,Orange,584,App
12-08-2019,Orange,277,App
12-08-2019,Orange,328,App
12-08-2019,Orange,584,App
12-08-2019,Orange,584,App
12-15-2019,Orange,328,App
12-15-2019,Orange,580,App
12-15-2019,Orange,584,App
12-15-2019,Red,578,App
12-15-2019,Other,342,App
12-15-2019,Other,347,App
12-15-2019,Other,584,App
12-22-2019,Orange,577,App
12-22-2019,Orange,581,App
12-22-2019,Other,292,App
12-29-2019,Other,577,App
01-05-2020,Orange,584,App
01-12-2020,Orange,571,App
01-12-2020,Orange,581,App
01-12-2020,Orange,584,App
01-12-2020,Other,577,App
01-19-2020,Orange,294,App
01-26-2020,Orange,582,App
01-26-2020,Orange,584,App
02-02-2020,Orange,328,App
02-02-2020,Orange,337,App
02-02-2020,Orange,347,App
02-02-2020,Orange,581,App
02-02-2020,Orange,584,App
02-02-2020,Red,581,App
02-09-2020,Orange,337,App
02-09-2020,Orange,581,App
02-09-2020,Orange,581,App
02-16-2020,Orange,294,App
02-16-2020,Orange,328,App
02-16-2020,Orange,579,App
02-16-2020,Orange,584,App
02-16-2020,Orange,584,App
02-16-2020,Orange,584,App
02-16-2020,Orange,584,App
02-23-2020,Orange,259,App
02-23-2020,Orange,292,App
02-23-2020,Orange,337,App
02-23-2020,Orange,584,App
02-23-2020,Orange,584,App
02-23-2020,Orange,801,App
02-23-2020,Red,581,App
03-01-2020,Orange,294,App
03-01-2020,Orange,328,App
03-01-2020,Orange,337,App
03-01-2020,Orange,342,App
03-01-2020,Orange,342,App
03-01-2020,Orange,347,App
03-01-2020,Orange,580,App
03-01-2020,Orange,581,App
03-01-2020,Orange,584,App
03-01-2020,Red,347,App
03-01-2020,Other,578,App
03-08-2020,Orange,328,App
03-08-2020,Orange,328,App
03-08-2020,Orange,339,App
03-08-2020,Orange,571,App
03-08-2020,Orange,572,App
03-08-2020,Orange,578,App
03-08-2020,Orange,581,App
03-08-2020,Orange,584,App
03-15-2020,Orange,294,App
03-15-2020,Orange,337,App
03-15-2020,Orange,584,App
03-22-2020,Orange,277,App
03-22-2020,Orange,580,App
03-22-2020,Orange,581,App
03-22-2020,Orange,584,App
03-22-2020,Orange,805,App
03-29-2020,Orange,581,App
03-29-2020,Orange,801,App
03-29-2020,Other,582,App
04-05-2020,Orange,259,App
04-05-2020,Orange,328,App
04-05-2020,Orange,328,App
04-05-2020,Orange,328,App
04-05-2020,Orange,347,App
04-05-2020,Orange,347,App
04-05-2020,Orange,580,App
04-05-2020,Orange,581,App
04-05-2020,Orange,584,App
04-12-2020,Orange,292,App
04-12-2020,Orange,294,App
04-19-2020,Orange,259,App
04-19-2020,Orange,580,App
04-19-2020,Orange,580,App
04-26-2020,Orange,292,App
04-26-2020,Orange,328,App
04-26-2020,Orange,328,App
04-26-2020,Orange,563,App
04-26-2020,Orange,581,App
04-26-2020,Orange,581,App
04-26-2020,Orange,581,App
04-26-2020,Orange,583,App
04-26-2020,Orange,584,App
05-03-2020,Orange,581,App
05-03-2020,Orange,581,App
05-03-2020,Orange,581,App
05-03-2020,Orange,581,App
05-03-2020,Red,584,App
05-10-2020,Orange,571,App
05-10-2020,Orange,584,App
05-10-2020,Orange,584,App
05-17-2020,Orange,292,App
05-17-2020,Orange,328,App
05-17-2020,Orange,339,App
05-17-2020,Orange,580,App
05-17-2020,Orange,581,App
05-17-2020,Orange,582,App
05-17-2020,Orange,584,App
05-24-2020,Orange,294,App
05-24-2020,Orange,294,App
05-24-2020,Orange,571,App
05-24-2020,Orange,571,App
05-24-2020,Orange,584,App
05-24-2020,Orange,584,App
05-24-2020,Orange,584,App
05-31-2020,Orange,259,App
05-31-2020,Orange,294,App
05-31-2020,Orange,328,App
05-31-2020,Other,584,App
06-07-2020,Orange,277,App
06-07-2020,Orange,294,App
06-07-2020,Orange,294,App
06-07-2020,Orange,328,App
06-07-2020,Orange,580,App
06-07-2020,Orange,581,App
06-07-2020,Orange,584,App
06-14-2020,Orange,277,App
06-14-2020,Orange,292,App
06-14-2020,Orange,292,App
06-14-2020,Orange,580,App
06-14-2020,Orange,580,App
06-14-2020,Orange,581,App
06-21-2020,Orange,294,App
06-21-2020,Orange,584,App
06-21-2020,Orange,801,App
06-28-2020,Orange,328,App
06-28-2020,Orange,328,App
06-28-2020,Orange,581,App
06-28-2020,Orange,581,App
06-28-2020,Orange,584,App
