Date,Color,Rig Number,Region
10-13-2019,Orange,221,East Texas
10-13-2019,Orange,236,East Texas
10-13-2019,Orange,591,East Texas
10-13-2019,Other,209,East Texas
10-20-2019,Orange,236,East Texas
10-20-2019,Orange,238,East Texas
10-20-2019,Orange,238,East Texas
10-27-2019,Orange,222,East Texas
10-27-2019,Orange,238,East Texas
11-03-2019,Orange,591,East Texas
11-03-2019,Orange,591,East Texas
11-10-2019,Orange,209,East Texas
11-10-2019,Orange,221,East Texas
11-10-2019,Orange,236,East Texas
11-10-2019,Orange,238,East Texas
11-10-2019,Orange,269,East Texas
11-10-2019,Orange,269,East Texas
11-10-2019,Orange,271,East Texas
11-10-2019,Orange,591,East Texas
11-10-2019,Red,222,East Texas
11-10-2019,Red,236,East Texas
11-10-2019,Red,279,East Texas
11-17-2019,Orange,209,East Texas
11-17-2019,Orange,221,East Texas
11-17-2019,Orange,236,East Texas
11-24-2019,Orange,221,East Texas
11-24-2019,Orange,236,East Texas
12-01-2019,Orange,269,East Texas
12-01-2019,Red,236,East Texas
12-08-2019,Orange,209,East Texas
12-08-2019,Orange,238,East Texas
12-15-2019,Orange,209,East Texas
12-15-2019,Orange,587,East Texas
12-15-2019,Orange,587,East Texas
12-15-2019,Red,221,East Texas
12-15-2019,Red,287,East Texas
12-15-2019,Other,587,East Texas
12-22-2019,Orange,222,East Texas
01-05-2020,Orange,236,East Texas
01-05-2020,Red,236,East Texas
01-12-2020,Orange,236,East Texas
01-12-2020,Orange,236,East Texas
01-19-2020,Orange,236,East Texas
01-19-2020,Orange,238,East Texas
01-26-2020,Orange,236,East Texas
01-26-2020,Orange,238,East Texas
01-26-2020,Red,236,East Texas
02-02-2020,Orange,221,East Texas
02-02-2020,Orange,236,East Texas
02-02-2020,Red,236,East Texas
02-23-2020,Orange,Yard,East Texas
02-23-2020,Red,238,East Texas
03-08-2020,Orange,238,East Texas
03-08-2020,Red,239,East Texas
03-08-2020,Red,239,East Texas
04-12-2020,Orange,221,East Texas
04-26-2020,Orange,221,East Texas
05-03-2020,Orange,221,East Texas
05-24-2020,Orange,209,East Texas
05-24-2020,Orange,211,East Texas
05-24-2020,Orange,221,East Texas
05-24-2020,Orange,271,East Texas
05-24-2020,Orange,586,East Texas
05-24-2020,Orange,591,East Texas
05-31-2020,Orange,209,East Texas
05-31-2020,Orange,221,East Texas
05-31-2020,Orange,585,East Texas
05-31-2020,Orange,585,East Texas
05-31-2020,Red,239,East Texas
06-07-2020,Orange,269,East Texas
06-07-2020,Orange,585,East Texas
06-14-2020,Orange,221,East Texas
06-14-2020,Orange,221,East Texas
06-14-2020,Orange,239,East Texas
06-14-2020,Orange,585,East Texas
06-14-2020,Orange,591,East Texas
06-14-2020,Red,209,East Texas
06-14-2020,Red,591,East Texas
06-21-2020,Orange,211,East Texas
06-21-2020,Orange,211,East Texas
06-21-2020,Orange,585,East Texas
06-21-2020,Orange,586,East Texas
06-21-2020,Red,591,East Texas
06-28-2020,Orange,209,East Texas
06-28-2020,Orange,211,East Texas
06-28-2020,Orange,221,East Texas
06-28-2020,Orange,221,East Texas
06-28-2020,Orange,269,East Texas
06-28-2020,Orange,585,East Texas
07-05-2020,Orange,211,East Texas
07-05-2020,Orange,211,East Texas
07-05-2020,Orange,211,East Texas
07-05-2020,Orange,239,East Texas
07-05-2020,Orange,585,East Texas
07-12-2020,Orange,211,East Texas
07-19-2020,Orange,209,East Texas
07-19-2020,Orange,585,East Texas
07-19-2020,Orange,591,East Texas
07-26-2020,Orange,209,East Texas
07-26-2020,Orange,211,East Texas
07-26-2020,Orange,221,East Texas
07-26-2020,Orange,271,East Texas
07-26-2020,Orange,585,East Texas
07-26-2020,Orange,585,East Texas
08-02-2020,Orange,221,East Texas
08-02-2020,Orange,221,East Texas
08-02-2020,Orange,239,East Texas
08-02-2020,Orange,269,East Texas
08-02-2020,Orange,586,East Texas
08-09-2020,Orange,209,East Texas
08-16-2020,Orange,591,East Texas
08-16-2020,Orange,591,East Texas
08-23-2020,Orange,209,East Texas
08-23-2020,Orange,211,East Texas
08-23-2020,Orange,221,East Texas
08-23-2020,Orange,585,East Texas
08-23-2020,Orange,586,East Texas
08-30-2020,Orange,221,East Texas
08-30-2020,Orange,279,East Texas
09-13-2020,Orange,211,East Texas
09-13-2020,Orange,211,East Texas
09-13-2020,Orange,221,East Texas
09-13-2020,Orange,221,East Texas
09-13-2020,Orange,269,East Texas
09-13-2020,Orange,269,East Texas
09-13-2020,Orange,271,East Texas
09-13-2020,Orange,271,East Texas
09-13-2020,Orange,585,East Texas
09-13-2020,Orange,586,East Texas
09-13-2020,Red,239,East Texas
09-20-2020,Orange,209,East Texas
09-20-2020,Orange,221,East Texas
09-20-2020,Orange,271,East Texas
09-20-2020,Orange,271,East Texas
09-20-2020,Orange,271,East Texas
09-20-2020,Orange,585,East Texas
09-20-2020,Orange,585,East Texas
09-20-2020,Orange,585,East Texas
09-27-2020,Orange,209,East Texas
09-27-2020,Orange,211,East Texas
09-27-2020,Orange,221,East Texas
09-27-2020,Orange,221,East Texas
09-27-2020,Orange,239,East Texas
09-27-2020,Orange,269,East Texas
09-27-2020,Orange,271,East Texas
09-27-2020,Orange,585,East Texas
09-27-2020,Orange,591,East Texas
09-27-2020,Red,271,East Texas
10-04-2020,Orange,221,East Texas
10-04-2020,Orange,221,East Texas
10-04-2020,Orange,221,East Texas
10-04-2020,Orange,221,East Texas
10-04-2020,Orange,585,East Texas
10-04-2020,Orange,585,East Texas
10-04-2020,Red,585,East Texas
10-11-2020,Orange,209,East Texas
10-11-2020,Orange,221,East Texas
10-11-2020,Orange,221,East Texas
10-11-2020,Orange,221,East Texas
10-11-2020,Orange,271,East Texas
10-11-2020,Orange,586,East Texas
10-18-2020,Orange,209,East Texas
10-18-2020,Orange,211,East Texas
10-18-2020,Orange,221,East Texas
10-18-2020,Orange,221,East Texas
10-18-2020,Orange,239,East Texas
10-18-2020,Orange,591,East Texas
10-25-2020,Orange,211,East Texas
10-25-2020,Orange,211,East Texas
10-25-2020,Orange,221,East Texas
10-25-2020,Orange,221,East Texas
