Date,Color,Rig Number,Region
10-06-2019,Red,592,Mid-Con
10-13-2019,Orange,291,Mid-Con
10-13-2019,Orange,589,Mid-Con
10-13-2019,Orange,589,Mid-Con
10-13-2019,Orange,592,Mid-Con
10-13-2019,Orange,766,Mid-Con
10-13-2019,Other,766,Mid-Con
10-20-2019,Orange,283,Mid-Con
10-20-2019,Orange,290,Mid-Con
10-20-2019,Orange,575,Mid-Con
10-20-2019,Orange,589,Mid-Con
10-20-2019,Orange,589,Mid-Con
10-20-2019,Orange,590,Mid-Con
10-20-2019,Orange,766,Mid-Con
10-20-2019,Orange,766,Mid-Con
10-20-2019,Red,589,Mid-Con
10-27-2019,Orange,575,Mid-Con
10-27-2019,Orange,575,Mid-Con
10-27-2019,Orange,590,Mid-Con
11-03-2019,Orange,283,Mid-Con
11-03-2019,Orange,283,Mid-Con
11-03-2019,Orange,287,Mid-Con
11-03-2019,Orange,575,Mid-Con
11-10-2019,Orange,293,Mid-Con
11-10-2019,Orange,590,Mid-Con
11-17-2019,Red,283,Mid-Con
11-17-2019,Other,290,Mid-Con
11-17-2019,Other,589,Mid-Con
11-24-2019,Orange,290,Mid-Con
11-24-2019,Orange,589,Mid-Con
11-24-2019,Orange,766,Mid-Con
12-01-2019,Orange,575,Mid-Con
12-01-2019,Red,590,Mid-Con
12-01-2019,Other,287,Mid-Con
12-15-2019,Orange,291,Mid-Con
12-15-2019,Orange,576,Mid-Con
12-15-2019,Orange,766,Mid-Con
12-22-2019,Orange,267,Mid-Con
12-29-2019,Orange,589,Mid-Con
01-05-2020,Orange,570,Mid-Con
01-05-2020,Orange,575,Mid-Con
01-12-2020,Orange,573,Mid-Con
01-12-2020,Red,576,Mid-Con
01-12-2020,Red,576,Mid-Con
01-19-2020,Red,293,Mid-Con
01-19-2020,Red,293,Mid-Con
01-19-2020,Red,576,Mid-Con
01-19-2020,Red,576,Mid-Con
01-19-2020,Red,576,Mid-Con
02-02-2020,Orange,290,Mid-Con
02-02-2020,Orange,576,Mid-Con
02-02-2020,Orange,576,Mid-Con
02-02-2020,Orange,589,Mid-Con
02-02-2020,Red,290,Mid-Con
02-02-2020,Red,576,Mid-Con
02-09-2020,Orange,291,Mid-Con
02-09-2020,Orange,589,Mid-Con
02-09-2020,Orange,592,Mid-Con
02-16-2020,Orange,290,Mid-Con
02-16-2020,Orange,293,Mid-Con
02-16-2020,Orange,293,Mid-Con
02-16-2020,Orange,570,Mid-Con
02-16-2020,Orange,570,Mid-Con
02-16-2020,Orange,573,Mid-Con
02-16-2020,Orange,576,Mid-Con
02-16-2020,Orange,592,Mid-Con
02-23-2020,Orange,570,Mid-Con
02-23-2020,Orange,589,Mid-Con
02-23-2020,Orange,590,Mid-Con
02-23-2020,Orange,590,Mid-Con
02-23-2020,Orange,592,Mid-Con
02-23-2020,Red,589,Mid-Con
02-23-2020,Red,592,Mid-Con
03-01-2020,Orange,576,Mid-Con
03-01-2020,Orange,592,Mid-Con
03-01-2020,Orange,592,Mid-Con
03-01-2020,Red,592,Mid-Con
03-08-2020,Red,592,Mid-Con
03-15-2020,Orange,290,Mid-Con
03-15-2020,Orange,590,Mid-Con
03-15-2020,Orange,592,Mid-Con
03-15-2020,Other,590,Mid-Con
03-15-2020,Other,766,Mid-Con
03-22-2020,Orange,570,Mid-Con
03-22-2020,Red,267,Mid-Con
03-22-2020,Other,766,Mid-Con
03-22-2020,Other,766,Mid-Con
03-29-2020,Orange,290,Mid-Con
03-29-2020,Orange,576,Mid-Con
03-29-2020,Orange,592,Mid-Con
04-05-2020,Orange,589,Mid-Con
04-05-2020,Orange,589,Mid-Con
04-12-2020,Orange,290,Mid-Con
04-12-2020,Orange,576,Mid-Con
04-12-2020,Orange,592,Mid-Con
04-19-2020,Orange,570,Mid-Con
04-26-2020,Orange,590,Mid-Con
04-26-2020,Red,576,Mid-Con
05-03-2020,Orange,573,Mid-Con
05-17-2020,Orange,570,Mid-Con
05-17-2020,Orange,590,Mid-Con
06-07-2020,Orange,590,Mid-Con
06-07-2020,Orange,590,Mid-Con
06-14-2020,Orange,590,Mid-Con
06-21-2020,Red,573,Mid-Con
06-28-2020,Orange,573,Mid-Con
06-28-2020,Orange,590,Mid-Con
06-28-2020,Red,573,Mid-Con
06-28-2020,Other,590,Mid-Con
07-05-2020,Orange,573,Mid-Con
07-05-2020,Orange,573,Mid-Con
07-05-2020,Orange,573,Mid-Con
07-05-2020,Orange,573,Mid-Con
07-05-2020,Orange,590,Mid-Con
07-12-2020,Orange,590,Mid-Con
07-19-2020,Orange,590,Mid-Con
07-26-2020,Orange,573,Mid-Con
07-26-2020,Orange,590,Mid-Con
07-26-2020,Red,590,Mid-Con
08-09-2020,Orange,573,Mid-Con
08-16-2020,Orange,573,Mid-Con
08-23-2020,Orange,573,Mid-Con
08-30-2020,Orange,573,Mid-Con
08-30-2020,Orange,573,Mid-Con
08-30-2020,Orange,590,Mid-Con
08-30-2020,Red,573,Mid-Con
09-13-2020,Orange,590,Mid-Con
09-27-2020,Orange,573,Mid-Con
09-27-2020,Orange,573,Mid-Con
09-27-2020,Orange,573,Mid-Con
10-04-2020,Orange,590,Mid-Con
10-04-2020,Orange,590,Mid-Con
10-18-2020,Orange,590,Mid-Con
10-25-2020,Orange,573,Mid-Con
10-25-2020,Orange,573,Mid-Con
11-22-2020,Orange,573,Mid-Con
12-06-2020,Orange,573,Mid-Con
12-06-2020,Orange,590,Mid-Con
12-13-2020,Orange,590,Mid-Con
12-20-2020,Orange,573,Mid-Con
12-20-2020,Orange,573,Mid-Con
12-20-2020,Orange,590,Mid-Con
12-20-2020,Red,573,Mid-Con
12-20-2020,Red,573,Mid-Con
01-10-2021,Orange,590,Mid-Con
01-17-2021,Orange,573,Mid-Con
01-17-2021,Orange,573,Mid-Con
01-24-2021,Orange,267,Mid-Con
01-24-2021,Red,267,Mid-Con
01-31-2021,Orange,573,Mid-Con
01-31-2021,Red,573,Mid-Con
01-31-2021,Red,573,Mid-Con
02-07-2021,Orange,Yard,Mid-Con
02-07-2021,Red,267,Mid-Con
02-14-2021,Orange,590,Mid-Con
02-14-2021,Red,267,Mid-Con
02-21-2021,Orange,590,Mid-Con
03-07-2021,Orange,573,Mid-Con
03-07-2021,Red,267,Mid-Con
03-14-2021,Orange,590,Mid-Con
03-14-2021,Red,573,Mid-Con
03-28-2021,Orange,576,Mid-Con
04-04-2021,Orange,590,Mid-Con
04-11-2021,Orange,590,Mid-Con
04-11-2021,Orange,590,Mid-Con
04-11-2021,Orange,590,Mid-Con
04-18-2021,Orange,573,Mid-Con
04-18-2021,Orange,590,Mid-Con
04-18-2021,Red,590,Mid-Con
04-25-2021,Orange,590,Mid-Con
04-25-2021,Red,573,Mid-Con
05-02-2021,Orange,573,Mid-Con
05-02-2021,Orange,576,Mid-Con
05-02-2021,Orange,590,Mid-Con
05-02-2021,Red,576,Mid-Con
05-09-2021,Orange,590,Mid-Con
05-23-2021,Orange,590,Mid-Con
06-06-2021,Orange,573,Mid-Con
06-06-2021,Orange,589,Mid-Con
06-13-2021,Orange,589,Mid-Con
06-13-2021,Orange,590,Mid-Con
06-13-2021,Orange,Yard,Mid-Con
06-20-2021,Orange,573,Mid-Con
06-20-2021,Orange,Yard,Mid-Con
07-04-2021,Orange,573,Mid-Con
07-04-2021,Orange,573,Mid-Con
07-11-2021,Orange,573,Mid-Con
07-11-2021,Orange,589,Mid-Con
07-11-2021,Orange,590,Mid-Con
07-18-2021,Orange,Yard,Mid-Con
07-25-2021,Orange,573,Mid-Con
07-25-2021,Orange,589,Mid-Con
08-08-2021,Orange,589,Mid-Con
08-08-2021,Orange,590,Mid-Con
08-22-2021,Orange,590,Mid-Con
08-22-2021,Orange,Yard,Mid-Con
08-22-2021,Red,573,Mid-Con
08-22-2021,Red,576,Mid-Con
08-29-2021,Orange,573,Mid-Con
08-29-2021,Orange,589,Mid-Con
08-29-2021,Orange,590,Mid-Con
09-05-2021,Orange,592,Mid-Con
