Date,Color,Rig Number,Region
10-06-2019,Orange,268,Rockies
10-13-2019,Orange,593,Rockies
10-13-2019,Other,268,Rockies
10-13-2019,Other,338,Rockies
10-27-2019,Orange,338,Rockies
10-27-2019,Other,338,Rockies
11-03-2019,Orange,320,Rockies
11-03-2019,Orange,901,Rockies
11-03-2019,Red,338,Rockies
11-03-2019,Other,272,Rockies
11-03-2019,Other,338,Rockies
11-17-2019,Orange,320,Rockies
11-24-2019,Orange,336,Rockies
11-24-2019,Orange,336,Rockies
11-24-2019,Orange,336,Rockies
12-01-2019,Orange,336,Rockies
12-01-2019,Orange,336,Rockies
12-01-2019,Orange,901,Rockies
12-08-2019,Orange,341,Rockies
12-08-2019,Red,593,Rockies
12-08-2019,Red,593,Rockies
12-29-2019,Orange,275,Rockies
12-29-2019,Orange,275,Rockies
01-05-2020,Orange,336,Rockies
01-05-2020,Orange,336,Rockies
01-12-2020,Orange,593,Rockies
02-02-2020,Orange,338,Rockies
02-02-2020,Orange,593,Rockies
02-09-2020,Orange,593,Rockies
02-16-2020,Orange,593,Rockies
02-16-2020,Orange,593,Rockies
02-16-2020,Orange,901,Rockies
03-01-2020,Red,338,Rockies
03-08-2020,Orange,338,Rockies
03-08-2020,Orange,593,Rockies
03-08-2020,Orange,593,Rockies
03-08-2020,Red,338,Rockies
03-15-2020,Red,276,Rockies
03-29-2020,Red,276,Rockies
04-26-2020,Orange,593,Rockies
04-26-2020,Orange,593,Rockies
05-03-2020,Orange,593,Rockies
05-17-2020,Orange,593,Rockies
12-27-2020,Orange,276,Rockies
01-03-2021,Orange,276,Rockies
01-24-2021,Orange,901,Rockies
01-31-2021,Orange,276,Rockies
02-07-2021,Orange,276,Rockies
02-28-2021,Orange,276,Rockies
03-07-2021,Orange,276,Rockies
03-07-2021,Orange,276,Rockies
03-14-2021,Orange,276,Rockies
03-14-2021,Orange,276,Rockies
03-14-2021,Orange,276,Rockies
03-14-2021,Orange,276,Rockies
04-18-2021,Orange,901,Rockies
05-02-2021,Orange,276,Rockies
05-02-2021,Orange,276,Rockies
05-02-2021,Orange,276,Rockies
05-02-2021,Orange,276,Rockies
05-09-2021,Orange,276,Rockies
05-23-2021,Orange,276,Rockies
06-13-2021,Orange,276,Rockies
06-13-2021,Orange,276,Rockies
08-15-2021,Orange,276,Rockies
08-15-2021,Orange,276,Rockies
08-15-2021,Orange,276,Rockies
08-29-2021,Orange,593,Rockies
08-29-2021,Other,593,Rockies
09-05-2021,Orange,276,Rockies
09-05-2021,Orange,276,Rockies
09-05-2021,Orange,276,Rockies
09-05-2021,Orange,593,Rockies
09-12-2021,Orange,593,Rockies
09-19-2021,Orange,593,Rockies
09-19-2021,Orange,593,Rockies
09-19-2021,Red,276,Rockies
10-10-2021,Other,593,Rockies
10-17-2021,Orange,272,Rockies
10-17-2021,Orange,593,Rockies
11-07-2021,Red,593,Rockies
11-28-2021,Orange,272,Rockies
12-12-2021,Orange,593,Rockies
12-12-2021,Orange,593,Rockies
12-12-2021,Orange,593,Rockies
03-08-2022,Orange,275,Rockies
03-08-2022,Orange,275,Rockies
03-08-2022,Orange,345,Rockies
03-15-2022,Orange,345,Rockies
03-22-2022,Orange,272,Rockies
03-29-2022,Orange,272,Rockies
04-05-2022,Orange,272,Rockies
04-05-2022,Orange,275,Rockies
04-26-2022,Orange,275,Rockies
05-03-2022,Orange,275,Rockies
05-10-2022,Orange,593,Rockies
05-17-2022,Orange,272,Rockies
05-24-2022,Orange,268,Rockies
06-14-2022,Orange,345,Rockies
06-21-2022,Orange,272,Rockies
06-21-2022,Orange,275,Rockies
06-21-2022,Orange,275,Rockies
06-21-2022,Orange,275,Rockies
06-21-2022,Orange,275,Rockies
06-21-2022,Orange,275,Rockies
07-12-2022,Orange,272,Rockies
07-12-2022,Orange,593,Rockies
07-19-2022,Orange,345,Rockies
08-09-2022,Orange,272,Rockies
08-09-2022,Orange,345,Rockies
08-16-2022,Red,345,Rockies
09-06-2022,Orange,345,Rockies
09-13-2022,Orange,593,Rockies
09-20-2022,Orange,345,Rockies
09-20-2022,Orange,593,Rockies
10-04-2022,Orange,275,Rockies
10-04-2022,Orange,275,Rockies
10-04-2022,Orange,275,Rockies
10-04-2022,Orange,275,Rockies
10-04-2022,Orange,572,Rockies
11-08-2022,Orange,275,Rockies
11-08-2022,Orange,275,Rockies
11-08-2022,Orange,275,Rockies
11-08-2022,Orange,275,Rockies
11-08-2022,Orange,275,Rockies
11-08-2022,Orange,275,Rockies
11-15-2022,Orange,268,Rockies
11-15-2022,Orange,345,Rockies
11-15-2022,Orange,572,Rockies
11-15-2022,Orange,572,Rockies
11-22-2022,Orange,275,Rockies
11-22-2022,Orange,572,Rockies
11-29-2022,Orange,345,Rockies
11-29-2022,Orange,572,Rockies
12-06-2022,Orange,572,Rockies
12-13-2022,Orange,572,Rockies
01-10-2023,Orange,268,Rockies
01-31-2023,Orange,272,Rockies
01-31-2023,Orange,345,Rockies
01-31-2023,Orange,572,Rockies
01-31-2023,Orange,593,Rockies
02-07-2023,Orange,345,Rockies
02-14-2023,Orange,572,Rockies
03-21-2023,Orange,268,Rockies
03-21-2023,Orange,275,Rockies
03-28-2023,Orange,275,Rockies
03-28-2023,Orange,275,Rockies
03-28-2023,Orange,275,Rockies
03-28-2023,Orange,593,Rockies
03-28-2023,Red,275,Rockies
04-04-2023,Orange,268,Rockies
04-04-2023,Orange,268,Rockies
04-11-2023,Orange,268,Rockies
04-18-2023,Orange,275,Rockies
04-18-2023,Orange,345,Rockies
04-25-2023,Orange,275,Rockies
05-02-2023,Orange,268,Rockies
05-02-2023,Orange,272,Rockies
05-02-2023,Orange,572,Rockies
05-02-2023,Orange,572,Rockies
05-09-2023,Orange,593,Rockies
05-16-2023,Orange,268,Rockies
05-16-2023,Orange,275,Rockies
05-16-2023,Orange,345,Rockies
05-16-2023,Red,268,Rockies
05-23-2023,Orange,345,Rockies
05-23-2023,Orange,345,Rockies
05-30-2023,Orange,275,Rockies
05-30-2023,Orange,275,Rockies
05-30-2023,Red,593,Rockies
06-06-2023,Orange,268,Rockies
06-06-2023,Orange,275,Rockies
06-06-2023,Orange,275,Rockies
06-06-2023,Orange,275,Rockies
06-06-2023,Orange,275,Rockies
06-06-2023,Orange,275,Rockies
06-20-2023,Orange,275,Rockies
06-27-2023,Orange,268,Rockies
06-27-2023,Orange,272,Rockies
06-27-2023,Orange,272,Rockies
06-27-2023,Orange,272,Rockies
06-27-2023,Orange,345,Rockies
06-27-2023,Orange,572,Rockies
07-18-2023,Orange,272,Rockies
07-18-2023,Orange,345,Rockies
07-18-2023,Orange,572,Rockies
07-18-2023,Orange,572,Rockies
07-25-2023,Orange,593,Rockies
08-01-2023,Orange,345,Rockies
08-01-2023,Orange,572,Rockies
08-08-2023,Orange,272,Rockies
08-08-2023,Orange,272,Rockies
08-08-2023,Orange,275,Rockies
08-08-2023,Orange,572,Rockies
08-15-2023,Orange,268,Rockies
08-15-2023,Orange,272,Rockies
08-22-2023,Orange,275,Rockies
08-22-2023,Orange,593,Rockies
08-29-2023,Orange,572,Rockies
08-29-2023,Orange,593,Rockies
09-05-2023,Orange,268,Rockies
09-05-2023,Orange,268,Rockies
09-05-2023,Orange,345,Rockies
09-05-2023,Orange,572,Rockies
09-05-2023,Orange,593,Rockies
09-05-2023,Red,268,Rockies
09-12-2023,Orange,272,Rockies
09-19-2023,Orange,272,Rockies
09-19-2023,Orange,345,Rockies
09-19-2023,Orange,572,Rockies
09-26-2023,Orange,345,Rockies
