Date,Color,Rig Number,Region
10-06-2019,Orange,223,South Texas
10-13-2019,Orange,585,South Texas
10-20-2019,Orange,266,South Texas
10-20-2019,Orange,596,South Texas
10-20-2019,Orange,Yard,South Texas
10-27-2019,Orange,223,South Texas
11-03-2019,Orange,240,South Texas
11-10-2019,Orange,233,South Texas
11-17-2019,Other,299,South Texas
12-08-2019,Red,223,South Texas
12-15-2019,Orange,285,South Texas
12-15-2019,Orange,299,South Texas
12-22-2019,Orange,223,South Texas
12-22-2019,Orange,558,South Texas
12-22-2019,Other,558,South Texas
12-29-2019,Orange,246,South Texas
12-29-2019,Orange,558,South Texas
12-29-2019,Red,558,South Texas
12-29-2019,Other,240,South Texas
01-05-2020,Red,240,South Texas
01-12-2020,Orange,229,South Texas
01-12-2020,Orange,558,South Texas
01-12-2020,Red,558,South Texas
01-26-2020,Orange,229,South Texas
01-26-2020,Orange,247,South Texas
01-26-2020,Red,273,South Texas
01-26-2020,Red,561,South Texas
01-26-2020,Other,585,South Texas
02-02-2020,Orange,299,South Texas
02-02-2020,Other,585,South Texas
02-09-2020,Orange,248,South Texas
02-09-2020,Orange,248,South Texas
02-09-2020,Orange,285,South Texas
02-09-2020,Orange,285,South Texas
02-09-2020,Orange,558,South Texas
02-09-2020,Red,285,South Texas
02-16-2020,Orange,240,South Texas
02-16-2020,Orange,558,South Texas
02-16-2020,Orange,585,South Texas
02-16-2020,Other,561,South Texas
02-16-2020,Other,585,South Texas
02-23-2020,Orange,229,South Texas
03-01-2020,Orange,229,South Texas
03-08-2020,Orange,240,South Texas
03-08-2020,Orange,299,South Texas
03-08-2020,Orange,299,South Texas
03-08-2020,Orange,596,South Texas
03-15-2020,Orange,246,South Texas
03-15-2020,Orange,299,South Texas
03-15-2020,Other,246,South Texas
03-22-2020,Orange,240,South Texas
03-22-2020,Orange,273,South Texas
03-22-2020,Orange,561,South Texas
03-22-2020,Other,585,South Texas
03-29-2020,Orange,273,South Texas
03-29-2020,Orange,558,South Texas
03-29-2020,Other,273,South Texas
04-05-2020,Other,247,South Texas
04-12-2020,Orange,273,South Texas
04-12-2020,Orange,558,South Texas
04-19-2020,Orange,240,South Texas
04-19-2020,Red,240,South Texas
04-19-2020,Red,240,South Texas
05-03-2020,Orange,233,South Texas
05-03-2020,Orange,248,South Texas
05-03-2020,Orange,585,South Texas
05-10-2020,Orange,247,South Texas
05-10-2020,Orange,585,South Texas
05-10-2020,Orange,596,South Texas
05-10-2020,Red,233,South Texas
05-10-2020,Other,233,South Texas
05-17-2020,Orange,247,South Texas
05-17-2020,Orange,247,South Texas
05-17-2020,Orange,248,South Texas
05-17-2020,Orange,248,South Texas
05-24-2020,Other,248,South Texas
05-24-2020,Other,248,South Texas
05-24-2020,Other,248,South Texas
05-24-2020,Other,248,South Texas
05-24-2020,Other,248,South Texas
05-24-2020,Other,248,South Texas
05-24-2020,Other,248,South Texas
05-24-2020,Other,248,South Texas
05-31-2020,Orange,233,South Texas
06-07-2020,Orange,248,South Texas
06-07-2020,Other,248,South Texas
06-14-2020,Orange,248,South Texas
06-14-2020,Other,248,South Texas
06-14-2020,Other,248,South Texas
06-21-2020,Orange,248,South Texas
06-21-2020,Red,248,South Texas
06-21-2020,Other,248,South Texas
06-21-2020,Other,248,South Texas
06-28-2020,Red,248,South Texas
07-12-2020,Orange,248,South Texas
07-26-2020,Orange,248,South Texas
07-26-2020,Other,248,South Texas
08-02-2020,Orange,248,South Texas
08-02-2020,Other,248,South Texas
08-02-2020,Other,248,South Texas
08-02-2020,Other,248,South Texas
08-02-2020,Other,248,South Texas
08-02-2020,Other,248,South Texas
08-09-2020,Other,248,South Texas
08-09-2020,Other,248,South Texas
08-09-2020,Other,248,South Texas
08-09-2020,Other,248,South Texas
08-16-2020,Other,248,South Texas
08-16-2020,Other,248,South Texas
08-16-2020,Other,248,South Texas
08-16-2020,Other,248,South Texas
08-23-2020,Orange,248,South Texas
08-23-2020,Other,248,South Texas
08-30-2020,Other,248,South Texas
08-30-2020,Other,248,South Texas
08-30-2020,Other,248,South Texas
08-30-2020,Other,248,South Texas
09-27-2020,Orange,248,South Texas
09-27-2020,Red,248,South Texas
10-11-2020,Orange,248,South Texas
10-11-2020,Orange,248,South Texas
10-18-2020,Orange,561,South Texas
10-18-2020,Orange,561,South Texas
10-18-2020,Red,248,South Texas
10-25-2020,Orange,561,South Texas
10-25-2020,Red,561,South Texas
11-08-2020,Orange,248,South Texas
11-22-2020,Orange,233,South Texas
11-22-2020,Orange,248,South Texas
11-22-2020,Orange,561,South Texas
11-22-2020,Orange,561,South Texas
11-22-2020,Orange,561,South Texas
11-22-2020,Red,248,South Texas
11-29-2020,Orange,248,South Texas
11-29-2020,Orange,561,South Texas
11-29-2020,Red,248,South Texas
11-29-2020,Red,248,South Texas
12-06-2020,Orange,248,South Texas
12-06-2020,Orange,561,South Texas
12-06-2020,Red,248,South Texas
12-06-2020,Red,248,South Texas
12-06-2020,Red,248,South Texas
12-06-2020,Red,248,South Texas
12-06-2020,Red,248,South Texas
12-06-2020,Red,248,South Texas
12-13-2020,Orange,233,South Texas
12-13-2020,Orange,233,South Texas
12-13-2020,Orange,561,South Texas
12-13-2020,Orange,561,South Texas
12-27-2020,Orange,247,South Texas
12-27-2020,Orange,248,South Texas
12-27-2020,Orange,248,South Texas
01-03-2021,Orange,248,South Texas
01-03-2021,Red,248,South Texas
01-03-2021,Red,248,South Texas
01-03-2021,Red,248,South Texas
01-10-2021,Orange,561,South Texas
01-10-2021,Red,248,South Texas
01-10-2021,Red,248,South Texas
01-17-2021,Orange,248,South Texas
01-24-2021,Orange,247,South Texas
01-24-2021,Orange,561,South Texas
01-31-2021,Orange,247,South Texas
01-31-2021,Orange,247,South Texas
01-31-2021,Orange,247,South Texas
01-31-2021,Orange,561,South Texas
02-07-2021,Orange,233,South Texas
02-07-2021,Orange,248,South Texas
02-21-2021,Orange,248,South Texas
02-28-2021,Orange,247,South Texas
03-07-2021,Orange,233,South Texas
03-07-2021,Orange,233,South Texas
03-07-2021,Orange,248,South Texas
03-14-2021,Orange,561,South Texas
03-14-2021,Red,248,South Texas
03-21-2021,Red,561,South Texas
03-21-2021,Red,561,South Texas
03-28-2021,Orange,247,South Texas
04-04-2021,Orange,248,South Texas
04-04-2021,Orange,248,South Texas
04-04-2021,Orange,561,South Texas
04-04-2021,Orange,561,South Texas
04-04-2021,Orange,561,South Texas
04-04-2021,Red,561,South Texas
04-04-2021,Red,561,South Texas
04-11-2021,Orange,233,South Texas
04-11-2021,Orange,233,South Texas
04-11-2021,Orange,233,South Texas
04-11-2021,Orange,233,South Texas
04-11-2021,Orange,561,South Texas
04-11-2021,Red,561,South Texas
04-11-2021,Red,561,South Texas
04-11-2021,Red,561,South Texas
04-11-2021,Red,561,South Texas
04-11-2021,Red,561,South Texas
04-18-2021,Orange,248,South Texas
04-18-2021,Orange,248,South Texas
04-18-2021,Red,233,South Texas
04-18-2021,Red,248,South Texas
04-18-2021,Red,561,South Texas
04-18-2021,Red,561,South Texas
04-18-2021,Red,561,South Texas
04-18-2021,Red,561,South Texas
04-18-2021,Red,561,South Texas
